lTid,cDealable,CurrencyPair,RateDateTime,RateBid,RateAsk
1029208677,D,EUR/USD,2010-01-03 17:00:12,1.430100,1.430400
1029208681,D,EUR/USD,2010-01-03 17:00:21,1.430200,1.430500
1029208691,D,EUR/USD,2010-01-03 17:00:22,1.430300,1.430600
1029208730,D,EUR/USD,2010-01-03 17:00:33,1.430400,1.430700
1029208787,D,EUR/USD,2010-01-03 17:00:53,1.430300,1.430600
1029208806,D,EUR/USD,2010-01-03 17:00:58,1.430400,1.430700
1029208857,D,EUR/USD,2010-01-03 17:01:27,1.430300,1.430600
1029208979,D,EUR/USD,2010-01-03 17:02:10,1.430200,1.430500
1029209013,D,EUR/USD,2010-01-03 17:02:13,1.430100,1.430400
1029209084,D,EUR/USD,2010-01-03 17:02:32,1.430200,1.430500
1029209098,D,EUR/USD,2010-01-03 17:02:35,1.430300,1.430600
1029209180,D,EUR/USD,2010-01-03 17:03:36,1.430200,1.430500
1029209202,D,EUR/USD,2010-01-03 17:04:03,1.430100,1.430400
1029209214,D,EUR/USD,2010-01-03 17:04:09,1.430200,1.430500
1029209244,D,EUR/USD,2010-01-03 17:04:15,1.430100,1.430400
1029209255,D,EUR/USD,2010-01-03 17:04:15,1.430000,1.430300
1029209279,D,EUR/USD,2010-01-03 17:04:31,1.429900,1.430200
1029209291,D,EUR/USD,2010-01-03 17:04:31,1.429800,1.430100
1029209323,D,EUR/USD,2010-01-03 17:04:34,1.429900,1.430200
1029209358,D,EUR/USD,2010-01-03 17:04:41,1.429800,1.430100
1029209372,D,EUR/USD,2010-01-03 17:04:47,1.429900,1.430200
1029209393,D,EUR/USD,2010-01-03 17:04:56,1.430000,1.430300
1029209500,D,EUR/USD,2010-01-03 17:06:37,1.430100,1.430400
1029209512,D,EUR/USD,2010-01-03 17:06:51,1.430000,1.430300
1029209520,D,EUR/USD,2010-01-03 17:06:52,1.430100,1.430400
1029209740,D,EUR/USD,2010-01-03 17:08:52,1.430000,1.430300
1029209750,D,EUR/USD,2010-01-03 17:08:54,1.430200,1.430400
1029209760,D,EUR/USD,2010-01-03 17:08:54,1.430200,1.430500
1029209766,D,EUR/USD,2010-01-03 17:08:57,1.430100,1.430400
1029209801,D,EUR/USD,2010-01-03 17:09:27,1.430000,1.430300
1029209813,D,EUR/USD,2010-01-03 17:09:29,1.430100,1.430400
1029209825,D,EUR/USD,2010-01-03 17:09:35,1.430000,1.430300
1029209835,D,EUR/USD,2010-01-03 17:09:41,1.429900,1.430200
1029209845,D,EUR/USD,2010-01-03 17:09:41,1.429800,1.430100
1029209876,D,EUR/USD,2010-01-03 17:10:02,1.429900,1.430200
1029209905,D,EUR/USD,2010-01-03 17:10:21,1.430100,1.430400
1029209998,D,EUR/USD,2010-01-03 17:12:31,1.430200,1.430500
1029210020,D,EUR/USD,2010-01-03 17:12:47,1.430300,1.430600
1029210041,D,EUR/USD,2010-01-03 17:13:03,1.430400,1.430700
1029210086,D,EUR/USD,2010-01-03 17:13:09,1.430500,1.430700
1029210092,D,EUR/USD,2010-01-03 17:13:09,1.430600,1.430900
1029210116,D,EUR/USD,2010-01-03 17:13:18,1.430700,1.431000
1029210754,D,EUR/USD,2010-01-03 17:19:12,1.430800,1.431000
1029210758,D,EUR/USD,2010-01-03 17:19:12,1.430800,1.431100
1029210761,D,EUR/USD,2010-01-03 17:19:15,1.430700,1.431000
1029210787,D,EUR/USD,2010-01-03 17:20:06,1.430800,1.431000
1029210795,D,EUR/USD,2010-01-03 17:20:06,1.430800,1.431100
1029210852,D,EUR/USD,2010-01-03 17:20:26,1.430900,1.431200
1029210909,D,EUR/USD,2010-01-03 17:20:36,1.431000,1.431300
1029211090,D,EUR/USD,2010-01-03 17:21:33,1.431100,1.431300
1029211098,D,EUR/USD,2010-01-03 17:21:34,1.431100,1.431400
1029211145,D,EUR/USD,2010-01-03 17:22:03,1.431200,1.431400
1029211153,D,EUR/USD,2010-01-03 17:22:03,1.431200,1.431500
1029211162,D,EUR/USD,2010-01-03 17:22:08,1.431500,1.431800
1029211174,D,EUR/USD,2010-01-03 17:22:09,1.431600,1.431900
1029211183,D,EUR/USD,2010-01-03 17:22:09,1.431700,1.431900
1029211199,D,EUR/USD,2010-01-03 17:22:13,1.431700,1.432000
1029211205,D,EUR/USD,2010-01-03 17:22:15,1.431600,1.431900
1029211221,D,EUR/USD,2010-01-03 17:22:16,1.431500,1.431700
1029211234,D,EUR/USD,2010-01-03 17:22:17,1.431400,1.431700
1029211245,D,EUR/USD,2010-01-03 17:22:21,1.431300,1.431600
1029211327,D,EUR/USD,2010-01-03 17:22:52,1.431400,1.431700
1029211336,D,EUR/USD,2010-01-03 17:22:55,1.431500,1.431700
1029211347,D,EUR/USD,2010-01-03 17:22:55,1.431500,1.431800
1029211362,D,EUR/USD,2010-01-03 17:23:04,1.431400,1.431700
1029211390,D,EUR/USD,2010-01-03 17:23:13,1.431500,1.431800
1029211428,D,EUR/USD,2010-01-03 17:23:16,1.431600,1.431900
1029211442,D,EUR/USD,2010-01-03 17:23:21,1.431500,1.431800
1029211471,D,EUR/USD,2010-01-03 17:23:40,1.431600,1.431900
1029211545,D,EUR/USD,2010-01-03 17:23:58,1.431700,1.431900
1029211549,D,EUR/USD,2010-01-03 17:23:59,1.431600,1.431900
1029211764,D,EUR/USD,2010-01-03 17:26:12,1.431500,1.431800
1029211775,D,EUR/USD,2010-01-03 17:26:13,1.431600,1.431900
1029212067,D,EUR/USD,2010-01-03 17:27:43,1.431500,1.431800
1029212091,D,EUR/USD,2010-01-03 17:27:48,1.431600,1.431900
1029212106,D,EUR/USD,2010-01-03 17:27:49,1.431500,1.431800
1029212116,D,EUR/USD,2010-01-03 17:27:50,1.431600,1.431900
1029212167,D,EUR/USD,2010-01-03 17:27:54,1.431500,1.431800
1029212336,D,EUR/USD,2010-01-03 17:28:43,1.431400,1.431700
1029212421,D,EUR/USD,2010-01-03 17:29:08,1.431500,1.431800
1029212430,D,EUR/USD,2010-01-03 17:29:10,1.431700,1.431900
1029212443,D,EUR/USD,2010-01-03 17:29:10,1.431700,1.432000
1029212540,D,EUR/USD,2010-01-03 17:29:30,1.431600,1.431900
1029212613,D,EUR/USD,2010-01-03 17:30:22,1.431700,1.432000
1029212719,D,EUR/USD,2010-01-03 17:30:25,1.431600,1.431900
1029212886,D,EUR/USD,2010-01-03 17:30:39,1.431500,1.431800
